University_Name,Location,Ranking,Tutionfee,Enrollment
,,,,
Massachusetts Institute of Technology,Cambridge,1,"[['full-time', '$53,450 per year']]","3,042"
Stanford University,Stanford,2,"[['full-time', '$57,861 per year']]","3,092"
University of California--Berkeley,Berkeley,3,"[['full-time', '$11,442 per year (in-state)'], ['full-time', '$26,544 per year (out-of-state)']]","2,055"
California Institute of Technology,Pasadena,4,nun,534
Carnegie Mellon University,Pittsburgh,4,"[['full-time', '$50,100 per year'], ['part-time', '$2,088 per credit']]","3,600"
Purdue University--West Lafayette,West Lafayette,4,"[['full-time', '$10,330 per year (in-state)'], ['full-time', '$29,132 per year (out-of-state)'], ['part-time', '$329 per credit (in-state)'], ['part-time', '$929 per credit (out-of-state)']]","3,170"
University of Michigan--Ann Arbor,Ann Arbor,7,"[['full-time', '$27,718 per year (in-state)'], ['full-time', '$52,098 per year (out-of-state)'], ['part-time', '$1,497 per credit (in-state)'], ['part-time', '$2,851 per credit (out-of-state)']]","3,113"
Georgia Institute of Technology,Atlanta,8,"[['full-time', '$14,064 per year (in-state)'], ['full-time', '$29,140 per year (out-of-state)'], ['part-time', '$586 per credit (in-state)'], ['part-time', '$1,215 per credit (out-of-state)']]","3,830"
University of California--San Diego (Jacobs),La Jolla,9,"[['full-time', '$11,442 per year (in-state)'], ['full-time', '$26,544 per year (out-of-state)'], ['part-time', '$5,721 per year (in-state)'], ['part-time', '$13,272 per year (out-of-state)']]","2,803"
University of Illinois--Urbana-Champaign,Urbana,10,"[['full-time', '$18,998 per year (in-state)'], ['full-time', '$36,150 per year (out-of-state)']]","3,353"
,,,,
Texas A&M University--College Station,College Station,11,"[['full-time', '$282 per credit (in-state)'], ['full-time', '$794 per credit (out-of-state)'], ['part-time', '$282 per credit (in-state)'], ['part-time', '$794 per credit (out-of-state)']]","2,687"
Cornell University,Ithaca,12,"[['full-time', '$29,500 per year'], ['part-time', '$2,441 per credit']]","2,387"
University of Southern California (Viterbi),Los Angeles,12,"[['full-time', '$2,148 per credit'], ['part-time', '$2,148 per credit']]","3,656"
University of Texas--Austin (Cockrell),Austin,12,"[['full-time', '$10,554 per year (in-state)'], ['full-time', '$19,320 per year (out-of-state)']]","1,977"
Columbia University (Fu Foundation),New York,15,"[['full-time', '$52,704 per year'], ['part-time', '$2,196 per credit']]","2,032"
University of California--Los Angeles (Samueli),Los Angeles,16,"[['full-time', '$11,442 per year (in-state)'], ['full-time', '$26,544 per year (out-of-state)']]","2,188"
Johns Hopkins University (Whiting),Baltimore,17,"[['full-time', '$54,160 per year']]","1,906"
University of Pennsylvania,Philadelphia,18,"[['full-time', '$42,312 per year']]","2,102"
Northwestern University (McCormick),Evanston,19,"[['full-time', '$58,029 per year'], ['part-time', '$6,882 per credit']]","1,938"
University of Maryland--College Park (Clark),College Park,20,"[['full-time', '$731 per credit (in-state)'], ['full-time', '$1,625 per credit (out-of-state)'], ['part-time', '$731 per credit (in-state)'], ['part-time', '$1,625 per credit (out-of-state)']]","1,422"
,,,,
Harvard University,Allston,21,"[['full-time', '$56,528 per year'], ['part-time', '$28,264 per year']]",693
